"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 14:35:47 GMT 2024","Sun Jun 09 14:35:55 GMT 2024","7755","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.ProductDetailsTests","simtran.evershop.tests.store.ProductDetailsTests","verifyOpeningProductDetailsPageFromCategoryPage","Product Details - Verify opening product details page from Category page",""
"passed","Sun Jun 09 14:35:30 GMT 2024","Sun Jun 09 14:35:31 GMT 2024","686","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Sun Jun 09 14:35:29 GMT 2024","Sun Jun 09 14:35:30 GMT 2024","814","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Sun Jun 09 14:35:50 GMT 2024","Sun Jun 09 14:35:51 GMT 2024","1339","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Sun Jun 09 14:35:43 GMT 2024","Sun Jun 09 14:35:44 GMT 2024","913","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Sun Jun 09 14:35:40 GMT 2024","Sun Jun 09 14:35:41 GMT 2024","751","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Sun Jun 09 14:35:27 GMT 2024","Sun Jun 09 14:35:27 GMT 2024","571","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Sun Jun 09 14:35:35 GMT 2024","Sun Jun 09 14:35:37 GMT 2024","1405","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Sun Jun 09 14:35:56 GMT 2024","Sun Jun 09 14:35:58 GMT 2024","2351","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.ProductDetailsTests","simtran.evershop.tests.store.ProductDetailsTests","verifyOpeningProductDetailsPageFromHomepage","Product Details - Verify opening product details page from Homepage",""
"passed","Sun Jun 09 14:35:46 GMT 2024","Sun Jun 09 14:35:47 GMT 2024","1038","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Sun Jun 09 14:35:39 GMT 2024","Sun Jun 09 14:35:47 GMT 2024","7849","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifySortingByPrice","Category - Verify sorting products by price",""
"passed","Sun Jun 09 14:36:19 GMT 2024","Sun Jun 09 14:36:26 GMT 2024","7343","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.ProductDetailsTests","simtran.evershop.tests.store.ProductDetailsTests","verifyOpeningProductDetailsPageFromCategoryPage","Product Details - Verify opening product details page from Category page",""
"passed","Sun Jun 09 14:35:21 GMT 2024","Sun Jun 09 14:35:23 GMT 2024","2187","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.LoginTests","simtran.evershop.tests.store.LoginTests","verifyLoginUsingInvalidCredentials","Login - Verify logging in with invalid credentials",""
"passed","Sun Jun 09 14:36:28 GMT 2024","Sun Jun 09 14:36:31 GMT 2024","2357","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.ProductDetailsTests","simtran.evershop.tests.store.ProductDetailsTests","verifyOpeningProductDetailsPageFromHomepage","Product Details - Verify opening product details page from Homepage",""
"passed","Sun Jun 09 14:35:25 GMT 2024","Sun Jun 09 14:35:25 GMT 2024","566","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Sun Jun 09 14:35:23 GMT 2024","Sun Jun 09 14:35:24 GMT 2024","1220","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.LoginTests","simtran.evershop.tests.store.LoginTests","verifyLoginUsingValidCredentials","Login - Verify logging in with valid credential",""
"passed","Sun Jun 09 14:36:09 GMT 2024","Sun Jun 09 14:36:17 GMT 2024","8219","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifySortingByPrice","Category - Verify sorting products by price",""
"passed","Sun Jun 09 14:35:31 GMT 2024","Sun Jun 09 14:35:39 GMT 2024","7622","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifySortingByName","Category - Verify sorting products by name",""
"passed","Sun Jun 09 14:35:28 GMT 2024","Sun Jun 09 14:35:28 GMT 2024","728","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Sun Jun 09 14:35:58 GMT 2024","Sun Jun 09 14:36:06 GMT 2024","8182","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifySortingByName","Category - Verify sorting products by name",""
"passed","Sun Jun 09 14:35:26 GMT 2024","Sun Jun 09 14:35:26 GMT 2024","555","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Sun Jun 09 14:35:54 GMT 2024","Sun Jun 09 14:35:55 GMT 2024","1303","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyProductCount","Category - Verify product count",""
